Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_0	0.088245	1.764897	0.014788	0.000077	0.393147
specbzip_1	0.088139	1.762777	0.014788	0.000077	0.389457
specbzip_2	0.085610	1.712208	0.014794	0.000077	0.322489
specbzip_3	0.083942	1.678833	0.014793	0.000077	0.282144
specbzip_4	0.082719	1.654372	0.014790	0.000077	0.251939
specbzip_5	0.082692	1.653848	0.014796	0.000077	0.251734
specbzip_6	0.083184	1.663677	0.013334	0.000077	0.315939
specbzip_7	0.082521	1.650416	0.011747	0.000077	0.363137
specbzip_8	0.082133	1.642650	0.010952	0.000077	0.392481
specbzip_9	0.083302	1.666046	0.014358	0.000067	0.174181
specmcf_0	0.057773	1.155450	0.002108	0.000019	0.711863
specmcf_1	0.057780	1.155606	0.002108	0.000018	0.711878
specmcf_2	0.057772	1.155442	0.002108	0.000018	0.711974
specmcf_3	0.065396	1.307913	0.002108	0.023613	0.063909
specmcf_4	0.065380	1.307601	0.002108	0.023612	0.063760
specmcf_5	0.065183	1.303669	0.002108	0.023612	0.059298
specmcf_6	0.065187	1.303750	0.002108	0.023612	0.059346
specmcf_7	0.064952	1.299037	0.002108	0.023612	0.055085
specmcf_8	0.064926	1.298512	0.002108	0.023612	0.054613
specmcf_9	0.066527	1.330534	0.001384	0.035212	0.020416
spechmmer_0	0.059567	1.191346	0.002359	0.000221	0.054065
spechmmer_1	0.060575	1.211494	0.003394	0.000221	0.038446
spechmmer_2	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_3	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_4	0.059398	1.187967	0.001637	0.000221	0.078214
spechmmer_5	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_6	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_7	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_8	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_9	0.059396	1.187917	0.001637	0.000221	0.077760
specsjeng_0	0.513536	10.270716	0.121831	0.000022	0.999962
specsjeng_1	0.339974	6.799471	0.060922	0.000015	0.999825
specsjeng_2	0.513545	10.270894	0.121831	0.000023	0.999959
specsjeng_3	0.513526	10.270520	0.121831	0.000020	0.999976
specsjeng_4	0.513536	10.270716	0.121831	0.000020	0.999979
specsjeng_5	0.513547	10.270931	0.121830	0.000020	0.999984
specsjeng_6	0.513721	10.274415	0.121831	0.000020	0.999973
specsjeng_7	0.513719	10.274384	0.121831	0.000020	0.999972
specsjeng_8	0.513649	10.272980	0.121831	0.000020	0.999972
specsjeng_9	0.513647	10.272934	0.121831	0.000020	0.999972
specsjeng_10	0.513664	10.273271	0.121831	0.000020	0.999972
specsjeng_11	0.513507	10.270140	0.121831	0.000020	0.999972
specsjeng_12	0.513268	10.265352	0.121831	0.000020	0.999972
specsjeng_13	0.513258	10.265169	0.121831	0.000020	0.999972
specsjeng_14	0.513271	10.265417	0.121831	0.000020	0.999972
specsjeng_15	0.339974	6.799471	0.060922	0.000015	0.999825
specsjeng_16	0.258786	5.175719	0.030472	0.000011	0.999168
speclibm_0	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_1	0.174671	3.493415	0.060972	0.000094	0.999945
speclibm_2	0.175352	3.507046	0.060972	0.000094	0.999944
speclibm_3	0.175352	3.507046	0.060972	0.000094	0.999944
speclibm_4	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_5	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_6	0.174482	3.489639	0.060972	0.000094	0.999944
speclibm_7	0.174482	3.489639	0.060972	0.000094	0.999944
speclibm_8	0.174482	3.489639	0.060972	0.000094	0.999944
speclibm_9	0.129105	2.582105	0.030487	0.000112	0.999799
speclibm_10	0.099532	1.990648	0.015244	0.000134	0.999474
